web-scraper-order,web-scraper-start-url,category-link,category-link-href,sub-category,sub-category-href,product-links,product-links-href,brand,foundation-category,foundation-category-href,name,next-page,next-page-href,reviews-text,top-positive-review,stars,review-keyword,top-negative-review
"1588347186-4815","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","CC+ Cream with SPF 50+","https://www.ulta.com/cc-cream-with-spf-50?productId=xlsImpprod5770257","It Cosmetics","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","CC+ Cream with SPF 50+","","","","","","","I really wanted to like this..."
"1588346985-4584","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","CC+ Cream Illumination SPF 50+","https://www.ulta.com/cc-cream-illumination-spf-50?productId=xlsImpprod12251079","It Cosmetics","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","CC+ Cream Illumination SPF 50+","","","I HAVE USED THIS PRODUCT (AND NOTHING ELSE) SINCE IT'S INTRODUCTION.","","5","IT'S TRUE TO IT'S ADVERTISEMENT.",""
"1588346828-4395","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Your Skin But Better CC+ Airbrush Perfecting Powder","https://www.ulta.com/your-skin-but-better-cc-airbrush-perfecting-powder?productId=pimprod2005433","It Cosmetics","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Your Skin But Better CC+ Airbrush Perfecting Powder","","","","","","","Considering how many ""IT"" products I own and LOVE - this was disappointing.  I mostly use it with the IT full coverage CC as my foundation (which I love) and apply with the suggested IT powder brush.  My first issue is you have to use WAY to much to get any coverage out of it, secondly if I don't le..."
"1588346023-3527","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","PhotoFocus Liquid Foundation","https://www.ulta.com/photofocus-liquid-foundation?productId=xlsImpprod16731069","Wet n Wild","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","PhotoFocus Liquid Foundation","","","","","","","I bought this after seeing numerous ""YouTube makeup guru's,"" raving about it. Although it is extremely affordable, I would have much rather put the $6 towards a different foundation. I applied with a brush- streaky. I applied with a beauty blender- patchy. Primer or no primer, powder or no powder, d..."
"1588345347-2835","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","TruBlend Matte Made Liquid Foundation","https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386","CoverGirl","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","TruBlend Matte Made Liquid Foundation","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","","This is about to my favorite foundation! The coverage is great and the matte finish is perfect.","","",""
"1588346447-3930","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Skin Feels Good Hydrating Skin Tint","https://www.ulta.com/skin-feels-good-hydrating-skin-tint?productId=xlsImpprod17691285","Lancôme","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Skin Feels Good Hydrating Skin Tint","","","","Awesome for oily skin!","","",""
"1588345891-3349","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Meet Your Hue Foundation","https://www.ulta.com/meet-your-hue-foundation?productId=pimprod2008052","Dose Of Colors","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Meet Your Hue Foundation","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","This might be my favorite foundation. The color matches my skin tone. The foundation is very lightweight. It is more a satin matte but not drying. I feel like I am wearing nothing. Perfect for people with oily or combination skin.","","5","Really really good",""
"1588345599-3024","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","ColorStay Full Cover Foundation","https://www.ulta.com/colorstay-full-cover-foundation?productId=xlsImpprod18391067","Revlon","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","ColorStay Full Cover Foundation","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","I will never buy another foundation, the one problem i found is that by the end of the day it starts to come off a little bit but other than that it's amazing","","5","better than expensive foundations",""
"1588345643-3080","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Glow Time Full Coverage Mineral BB Cream","https://www.ulta.com/glow-time-full-coverage-mineral-bb-cream?productId=pimprod2004088","jane iredale","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Glow Time Full Coverage Mineral BB Cream","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","I love this product! It goes on smoothly, with a lovely natural finish and it blends to my skin tone perfectly. Easy to remove and doesn't irritate my skin.","","5","Blends Beautifully!",""
"1588346345-3805","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Maracuja Tinted Moisturizer","https://www.ulta.com/maracuja-tinted-moisturizer?productId=pimprod2014942","Tarte","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Maracuja Tinted Moisturizer","","","","I ended up ordering this because the Tarte Amazonian Clay BB was out of stock and I saw that this was a new tinted moisturizer. I have an olive/tannish skin tone so buying makeup products online is a hit or miss for me. I ordered the 25B light-medium beige and was honestly super nervous about it, it...","","",""
"1588344873-2332","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Diamond Powder Foundation","https://www.ulta.com/diamond-powder-foundation?productId=pimprod2008720","Winky Lux","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Diamond Powder Foundation","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","Why is no one talking about this powder!? It adds coverage and a slight glow, I absolutely love it! It's a total game changer, I put down my Charlotte Tilbury finishing power for this.","","5","6 stars",""
"1588345266-2739","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Custom Cover Drops","https://www.ulta.com/custom-cover-drops?productId=pimprod2004155","COVER FX","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Custom Cover Drops","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","","","","","Color match was excellent but this is no better than any of my regular foundations (TF Born This Way, E. Arden Flawless Finish) as far as pigment/coverage.  Supposedly this is all pigment.  I followed the instructions and mixed 3-4 drops in a dime-sized portion of moisturizer (Cetaphil Daily Hydrati..."
"1588345891-3359","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Meet Your Hue Foundation","https://www.ulta.com/meet-your-hue-foundation?productId=pimprod2008052","Dose Of Colors","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Meet Your Hue Foundation","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","","","","","This foundation looks good upon initial application. However it quickly oxidizes, settles into fine lines, creases, looks dry, and cakes up. All the shades end up looking orange?? I have normal skin without dry patches or being oily. I also don't have texture but somehow this foundation made it look..."
"1588346828-4384","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Your Skin But Better CC+ Airbrush Perfecting Powder","https://www.ulta.com/your-skin-but-better-cc-airbrush-perfecting-powder?productId=pimprod2005433","It Cosmetics","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Your Skin But Better CC+ Airbrush Perfecting Powder","","","I love this product and wear it daily.During the Weekly Sale I ordered this and the shade I needed was ""light MEDIUM"" and that is in the middle of the shades. The only shade I saw in the Mediums were ""Medium Tan"" so that is what I ordered and it's too dark for me. I checked the shades online when my order came in and the shade I wanted was the 1st one and then the light we next. I would never look for a medium shade before the lights shades when ordering online!! I cannot return this because of this pandemic but it is not my fault and I checked the shades now and my shade is in the middle where I wish it was when I ordered!!!","","3","Shades wrong order online",""
"1588346715-4245","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Firm Flesh Thickstick Foundation","https://www.ulta.com/firm-flesh-thickstick-foundation?productId=xlsImpprod18581057","Flesh","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Firm Flesh Thickstick Foundation","","","Cakey, does not blend well with skin leaves a bunch of lines , would give 0 stars if possible","","1","Horrible",""
"1588346671-4186","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Superpowder Double Face Makeup","https://www.ulta.com/superpowder-double-face-makeup?productId=xlsImpprod10791897","Clinique","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Superpowder Double Face Makeup","","","I love this powder because the formula is amazing, never cakes, absorbs moisture, and covers but not too much. The compact is minimalistic, with a great mirror and a nice applicator. Thank you Clinique. Please do not change anything, I highly recommend!","","5","THE BEST PURSE POWDER",""
"1588345127-2617","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Pro Coverage Liquid Foundation","https://www.ulta.com/pro-coverage-liquid-foundation?productId=xlsImpprod15711049","L.A. Girl","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Pro Coverage Liquid Foundation","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","wayyyyy to dark for my completion. may use as bronzer","","2","not for me",""
"1588346023-3523","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","PhotoFocus Liquid Foundation","https://www.ulta.com/photofocus-liquid-foundation?productId=xlsImpprod16731069","Wet n Wild","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","PhotoFocus Liquid Foundation","","","I bought this after seeing a couple YouTube videos of people using it. I normally use Milani or Huda Beauty foundation. This foundation gets so cakey and dries up before you can even blend it. I'm medium/dark tone and I bought this thinking the shade was perfect and it's so orange toned and seriously smells like nail polish remover or paint it's disgusting. I don't normally write reviews but I hope this can help someone and tell them to just go buy a different drugstore foundation.","","1","Worst foundation I've ever used in my life",""
"1588345266-2728","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Custom Cover Drops","https://www.ulta.com/custom-cover-drops?productId=pimprod2004155","COVER FX","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Custom Cover Drops","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","Perfect coverage for someone with blothy, skin. my skin is combination skin, and i get red blotchy patches on my cheeks and around my nose and chin and this actually covers it really well without looking caked on.","","5","Love Love Love the coverage!",""
"1588345783-3219","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Skin Love Weightless Blur Foundation","https://www.ulta.com/skin-love-weightless-blur-foundation?productId=xlsImpprod18771095","BECCA Cosmetics","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Skin Love Weightless Blur Foundation","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","","","","","Was surprised at how much I hated this after reading the reviews. The  Ulta salesperson raved about it, said it would be ""awesome"" for my dry, 50 year old skin. Oh so wrong. It was terrible for me. Used a tiny bit, and was like applying mud.  I was told it had a glowy finish. Not even close. My skin..."
"1588345127-2623","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Pro Coverage Liquid Foundation","https://www.ulta.com/pro-coverage-liquid-foundation?productId=xlsImpprod15711049","L.A. Girl","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","Pro Coverage Liquid Foundation","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","","","","","Not great for oily skin"
"1588345708-3153","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","ColorStay Makeup For Normal/Dry Skin","https://www.ulta.com/colorstay-makeup-normaldry-skin?productId=xlsImpprod1810159","Revlon","Foundation (192)","https://www.ulta.com/makeup-face-foundation?N=26y5","ColorStay Makeup For Normal/Dry Skin","Next
Page","https://www.ulta.com/makeup-face-foundation?N=26y5&No=96&Nrpp=96","I have combo skin. This has been a go to of mine for a while now. I love how it sits on my skin and it will last me 10 good hours. I can't seem to find a shade with the right undertone for me though. They all seem very pink. I need one with a warmer undertone. I have tried fresh beige and buff.","","4","My go to for staying power but shade is ehh",""
