web-scraper-order,web-scraper-start-url,beauty-wrapper,beauty-wrapper-href,review-text,name,brand,keyword,community-review-text
"1588399039-7657","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","ColorStay Makeup Combination/Oily Skin","https://www.beautypedia.com/products/colorstay-makeup-combination-oily-skin/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","ColorStay Makeup Combination/Oily Skin","Revlon","Never using again","I used the normal product of this that wasn't specified to a skin type and when I saw the combination/oily I was so excited because I loved the foundation and I have oily skin. For the past 3 weeks I have been breaking out EVERYWHERE and couldn't figure it out. Sorry I didn't read reviews on it before I bought it. So disappointed."
"1588399073-7690","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Long-Wear Even Finish Compact Foundation","https://www.beautypedia.com/products/long-wear-even-finish-compact-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Long-Wear Even Finish Compact Foundation","Bobbi Brown","Perfect moderate coverage for dry sensitive skin","Been searching for a cream to powder foundation that works well with my dry skin and am so glad that I found this one.  Tried liquid and powder foundations but do prefer this one, especially when the colder months tend to dry my skin further.  Great moderate coverage that doesn't settle in my wrinkles and lines.  It is also pretty good as a base prior to applying eye makeup.  More importantly, it doesn't irritate my skin.  Love the product, but it is pricey so I gave it a 3 on value."
"1588396939-7181","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Clear Complexion Makeup BlemisHeal Technology","https://www.beautypedia.com/products/clear-complexion-makeup-blemisheal-technology/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Clear Complexion Makeup BlemisHeal Technology","Almay","My favourite foundation","Great product. I use a stippling brush for a light application and finish with the corresponding pressed powder. 200 buff is my perfect shade and matches my olive undertones. It is the perfect medium coverage and best foundation I've ever tried. No unnecessary sparkles, not shiny or greasy,  just matte enough."
"1588397043-7230","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","All in One Face Base","https://www.beautypedia.com/products/all-in-one-face-base/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","All in One Face Base","The Body Shop","It didn't work on me","I used this product for a few times and it caused big pimples appeared on my face."
"1588398786-7535","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Immaculate Liquid Powder Foundation","https://www.beautypedia.com/products/immaculate-liquid-powder-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Immaculate Liquid Powder Foundation","Hourglass Cosmetics","HG foundation for extremely oily skin","I have ridiculously oily skin, and no foundation lasts on me.  Even the high end, made-for-oily skin formulations don't last beyond 3 hours, and I've tried them all.  But then I found this product and couldn't be happier.  It looks good even after 10 hours, doesn't slide off, doesn't change color, and keeps the shine at bay.  The only complaints are the price (though it is worth it) and I would prefer a more radiant finish."
"1588398240-7326","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Amazing Face Oil Free Close-Up Coverage Foundation","https://www.beautypedia.com/products/amazing-face-oil-free-close-up-coverage-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Amazing Face Oil Free Close-Up Coverage Foundation","Too Faced","Excellent product","I've had TF's Amazing Face for a month now and I love how it never makes my skin look dry and flaky, a common problem for me with foundations. It goes on so smooth and silky, and it only takes a pretty small amount to get good coverage, so this should last me awhile. It sets to a glowy, slightly dewy finish. I think it lasts longer on me than other foundations I've tried, which seem odd as it isn't matte."
"1588399350-7792","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Traceless Foundation Stick","https://www.beautypedia.com/products/traceless-foundation-stick/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Traceless Foundation Stick","Tom Ford","Great all-rounder","I love this & a great all rounder. You can use it as a foundation & get a light-full coverage look (without it looking like a mask) & concealer It gives a lovely glow (NOT greasy) flawless face with  matte finish (so great for those with combination or greasy skin)but NOT powdery either & it's great for all skin types. It doesn't accentuates pores at all. This will last at least 9 months with everyday use. So It might seem pricey but great VFM compared to cheaper products. It's brilliant x"
"1588398769-7514","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Smart Shade Mousse Makeup","https://www.beautypedia.com/products/smart-shade-mousse-makeup/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Smart Shade Mousse Makeup","Almay","Excellent foundation","Thank you Paula & Team,  I would never have tried this if it wasn't for your recommendation. I used to believe pricier = better. I tried all foundations from Mac, Clinique to LaMer. This goes on smooth, even and very skin-like, with a soft-focus type finish. it definitely looks very odd in the jar container (grey/white colour)  & I wish Almay would change the pkging so it would be easier to toss into my purse and go. . . however aside from that minor issue this is really an excellent product"
"1588396583-7058","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Dream Matte Mousse Foundation","https://www.beautypedia.com/products/dream-matte-mousse-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Dream Matte Mousse Foundation","Maybelline New York","Excellent product","This is a quality foundation, excellent for normal to oily skin. I love the way it applied to my skin...it pats on lightly and highly blendable but offers excellent coverage. The best quality I love is the way it lasts on my T-zone oily skin. Even after many hours my skin was still shine free. The quality and appearance of this product are superior to high end products I have tried."
"1588396797-7092","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Matifying Compact Foundation","https://www.beautypedia.com/products/matifying-compact-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Matifying Compact Foundation","Sephora Collection","Reasonably Priced Option for Oily Skin","Light-medium coverage in a wide selection of shades.  My go-to powder foundation (drugstore) was discontinued and before I ran out, I took it to Sephora in search of a replacement (any brand) and this most closely matched texture and shade.  Most foundations are too yellow-based for my fair, pink undertones and combined with oily skin turn dark/yellow.  Texture is silky and fine but does not feel too matte on skin.  Price is reasonable, albeit higher than my previous brand."
"1588398821-7554","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Herbal Foundation Oil-Free","https://www.beautypedia.com/products/herbal-foundation-oil-free/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Herbal Foundation Oil-Free","Palladio Beauty","color selection","After reading Paula's reviews on Palladio, I decided to try it.  I really like it and will continue to use it. However, it is hard to see the colors.  I started with Sandy Beige but I would like to try the next lighter shade.  The shade that was recommended to me turned out to be darker.  No testers were available.  The Sandy Beige blended well, so I may stay with that."
"1588396693-7068","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Invisible Fluid Makeup","https://www.beautypedia.com/products/invisible-fluid-makeup/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Invisible Fluid Makeup","Estee Lauder","I Disagree","It depends upon your skin of course, and if you are very dry it might not work. But Paula's review here is in error. This Invisible Makeup by Lauder is wonderful. It does not add a ton of colour no; but it does soften pores and it adds a bit of coverage which is more than tinted moisturizer, for sure. It can even out skin tone and cover a certain amount of redness. It does not add heavy concealing so if you need that, this product is not for you."
"1588398909-7614","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Celebration Foundation™","https://www.beautypedia.com/products/celebration-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Celebration Foundation™","IT Cosmetics","Amazing!!!","This is amazing!  I'm 45 and I hate to wear makeup. I got this in the mail today and used it right away. I also bought the loose blush. I applied both in under a minute and I loved the look and feel of these products. It feels like your wearing nothing at all. My 14 year old daughter put it on when she came in from school and she loved it as well. I thought the coverage was perfect!  I think if you put a little more on it would be full coverage but I just wanted medium coverage. Love it!!!"
"1588396760-7086","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","SkinClearing Oil-Free Makeup","https://www.beautypedia.com/products/skinclearing-oil-free-makeup/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","SkinClearing Oil-Free Makeup","Neutrogena","The lightest shade borders on salmon as undertone","I am so disappointed with the Beautypedia review, I don't know how they could write that the fair-to-light shades are neutral. I have Classic Ivory and it's so pink, it borders on being salmon, other pink foundations look neutral next to this one. It applies beautifully on oily skin but because of the shade I simply can't use it."
"1588398567-7438","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","ColorStay Whipped Crème Makeup","https://www.beautypedia.com/products/colorstay-whipped-crme-makeup/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","ColorStay Whipped Crème Makeup","Revlon","Love This!","This foundation gives great coverage but feels lightweight. No heavy tackiness, no feeling of additional weight on the skin, while offering medium coverage. This whipped formula lasts all day with no additional touch ups. Great gor dry skin with a satin finish."
"1588398567-7443","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","ColorStay Whipped Crème Makeup","https://www.beautypedia.com/products/colorstay-whipped-crme-makeup/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","ColorStay Whipped Crème Makeup","Revlon","A great foundation","I have tried quite a few foundations over the last year trying to find something that tones down some red areas with light scarring without looking cakey.  This is the best one I've tried so far.  I have used it for several days now and seen how it looks in various lighting situations and it looks great.  it covers just right and does last all day.  It is a little matte but a little luminizer on the cheeks offsets that.  I tried it based on the PC review and the community reviews and I'm glad I did.  It sure beats spend upwards of $40 for foundations that don't work nearly as well."
"1588398751-7482","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Lock-it Tattoo Foundation","https://www.beautypedia.com/products/lock-it-tattoo-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Lock-it Tattoo Foundation","Kat Von D","Best full coverage I have used","So easy to use with my blender sponge!!! Great color options"
"1588398891-7588","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","IT-O2 Ultra Repair Liquid Oxygen Foundation","https://www.beautypedia.com/products/it-o2-ultra-repair-liquid-oxygen-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","IT-O2 Ultra Repair Liquid Oxygen Foundation","IT Cosmetics","I like it","I've tried tons of different liquid foundation products. This is the first one that has good coverage, actually lasts all day, doesn't settle into pores or lines, doesn't melt away, doesn't dry but isn't too oily, etc. The price is close to what Lancome charges for their Regenerie lifting line - but their line makes my face look almost 'quilty' because of the 'lifting' part. So for now, I'll stick with this."
"1588396583-7049","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Dream Matte Mousse Foundation","https://www.beautypedia.com/products/dream-matte-mousse-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Dream Matte Mousse Foundation","Maybelline New York","LOVE IT!!!!!!!","I don't think I've ever LOVED a foundation before. I picked this one up at the drugstore on a whim because the name sounded appealing. I've been hooked ever since. It covers my acne scars and mild acne without looking fake. Its so light and fluffy that you barely feel it. Forewarning, it does go a little orange after a month or so, but for the price, that's pretty darn good. The only way this foundation could be better would be if it had SPF"
"1588399237-7752","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Smooth Finish Foundation Powder","https://www.beautypedia.com/products/smooth-finish-foundation-powder/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Smooth Finish Foundation Powder","Laura Mercier","Great foundation for oily skin","I absolutely love this foundation! I originally got a sample of it through Sephora and was very impressed with how natural it looked for the amount of coverage it gave. It also gives a really wonderful matte look in the summer when my skin gets oily. Unfortunately, it dries me out too much in the winter, when my skin gets much drier on its own, so I switch to a liquid foundation from November through March. But for the rest of the year, this is definitely my pick."
"1588398406-7396","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Mineral Powder Foundation","https://www.beautypedia.com/products/mineral-powder-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Mineral Powder Foundation","Mary Kay","Wonderful!","I love this foundation! I struggle with combination/oily skin and this powder does a great job of making my skin appear matte and smooth. I can't tell you how many compliments I get when wearing this foundation!  It has buildable coverage and even works well as a finishing powder. I wouldn't recommend this product to someone with dry skin (or someone struggling with wrinkles, as most powder foundations maximize wrinkles) but it does work nicely for younger skin or combination/oily skin."
"1588398240-7328","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Amazing Face Oil Free Close-Up Coverage Foundation","https://www.beautypedia.com/products/amazing-face-oil-free-close-up-coverage-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Amazing Face Oil Free Close-Up Coverage Foundation","Too Faced","Go For It!","I really did my homework before purchasing this foundation! I read tons of reviews, tried lots of different products and sampled at Ulta and Sephora. I found Too Faced Amazing Face foundation in ""vanilla crème"" to be the most natural looking, good coverage foundation for my fair and slightly dry skin. Yes, the cutesy packaging is a gimmick, but just ignore it. Also, if you are military, you can purchase this online from shopmyexchange.com at a better price than beauty stores!"
"1588398115-7260","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Studio Skin 15 Hour Wear Foundation","https://www.beautypedia.com/products/studio-skin-15-hour-wear-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Studio Skin 15 Hour Wear Foundation","Smashbox","Awesome for oily skin","Great for super oily skin. Really lasts all day, especially forehead, since it comes into least contact during the day. If any rubs off my cheeks from incidental touching, there's still some on my forehead. Truly blends in with my skin--I only apply to the red areas in the center of my face with  a stippling/flat top brush, and it's nearly undetectable. I only see skin, not makeup. It's so long-lasting that it's hard to remove with makeup remover before the end of the day...Love it!"
"1588398203-7315","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","TruBlend Liquid Makeup","https://www.beautypedia.com/products/trublend-liquid-makeup/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","TruBlend Liquid Makeup","CoverGirl","Love this foundation","I bought this foundation a few years ago based on Paula's recommendation and I love it.  Proof positive that the product is great is that I have gotten comments over that time from 3 separate people about what I use. They wanted to know so they could look into it.  My concern is that it is becoming harder to find??  Just lately they have had really good sales on it so it has been cleared out at stores, and it seems to be in smaller quantities to make way for the CG Clean line..."
"1588398550-7430","https://www.beautypedia.com/makeup/face/foundation-without-sunscreen-reviews/?size=96&makeup_group[0]=foundation-without-sunscreen-reviews&p=2","Ultimate Performance Professional Foundation","https://www.beautypedia.com/products/ultimate-performance-professional-foundation/?archive_search=%2Fmakeup%2Fface%2Ffoundation-without-sunscreen-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Dfoundation-without-sunscreen-reviews%26p%3D2","","Ultimate Performance Professional Foundation","Mally Beauty","Poreless Face Defender is Great!","I agree with Paula's review of this product!  It is a very unusual looking cosmetic in that it almost resembles a cloudy, wax like,disc inside a large pink compact!  It takes the place of face powder and it works in a spectacular way!   Your face is left poreless with a mat finish that appears fresh and subtle; completely unlike the dry, chalky, aging condition that a typical face powder leaves. It is expensive, $40; BUT, I don't mind as much when the product works as advertised."
