web-scraper-order,web-scraper-start-url,category-link,category-link-href,sub-category,sub-category-href,product-links,product-links-href,brand,concealer-category,concealer-category-href,name,next-page,next-page-href,reviews-text,top-positive-review,stars,review-keyword,top-negative-review
"1588348336-5389","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Studio Waterweight Concealer","https://www.ulta.com/studio-waterweight-concealer?productId=xlsImpprod17421241","MAC","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Studio Waterweight Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","I just switched to MAC after wearing BareMinerals for 15 years. What a game changer. I'm so impressed with how well it lasts and still looks fresh at the end of a busy day! I own my own daycare and have 3 children, my makeup was usually a mess by the end of the day. Not anymore! No creasing, no caking! And so so light and natural feeling (I use waterweight foundation too). I have freckles and like to be able to still see them after I apply makeup, the stuff is perfect for me but also buildable. I use very little and it goes such a long way!","","5","Everything I was looking for!",""
"1588349572-6733","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer","https://www.ulta.com/bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer?productId=xlsImpprod5770259","It Cosmetics","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer","","","","I got a sample of this because nikkietutorials raves about it, and now I see why! I'm definitely going back to purchase the full size! It covers dark circles so well and it help with your bags and wrinkles! Definitely a full coverage concealer!","","",""
"1588347839-4900","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","True Match Super-Blendable Crayon Concealer","https://www.ulta.com/true-match-super-blendable-crayon-concealer?productId=xlsImpprod4960077","L'Oréal","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","True Match Super-Blendable Crayon Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","","","","","Unblendable & Patchy"
"1588347839-4891","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","True Match Super-Blendable Crayon Concealer","https://www.ulta.com/true-match-super-blendable-crayon-concealer?productId=xlsImpprod4960077","L'Oréal","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","True Match Super-Blendable Crayon Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","Def easy to use","","5","Love this",""
"1588349538-6688","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Instant Age Rewind Eraser Dark Circle Treatment Concealer","https://www.ulta.com/instant-age-rewind-eraser-dark-circle-treatment-concealer?productId=xlsImpprod3490149","Maybelline","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Instant Age Rewind Eraser Dark Circle Treatment Concealer","","","I really like this concealer because of the price and coverage combined. One of the best I've tried!","","4","Good for the price",""
"1588349433-6544","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Under Eye Brightening Corrector","https://www.ulta.com/under-eye-brightening-corrector?productId=xlsImpprod11881009","BECCA Cosmetics","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Under Eye Brightening Corrector","","","My friend was the one who introduced me to this eye corrector. I am still learning about makeup and I am very conscious of my under eye. I first put this one and then I apply my concealer and voila! Reason I add my concealer after is because Becca corrector is very glowy.","","5","miracle eye corrector",""
"1588348397-5485","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Ultimate Coverage Longwear Concealer","https://www.ulta.com/ultimate-coverage-longwear-concealer?productId=xlsImpprod18771085","BECCA Cosmetics","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Ultimate Coverage Longwear Concealer","","","","","","","The product: 

First off: this concealer is different from the original formula. I was looking for a potted concealer, much like Becca's undereye brightener, which I love. The product now comes in a tube with a poor sort-of-doe-foot applicator.

This is a decent concealer, but it is nowhere near the..."
"1588347933-4995","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Bio Brightener Cream Stick","https://www.ulta.com/bio-brightener-cream-stick?productId=pimprod2008562","W3LL PEOPLE","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Bio Brightener Cream Stick","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","","","","","I have a skin disorder called perioral dermatitis. Basically, I can't put anything on my skin without breaking into an acne-looking rash. This is the first foundation I've been able to find that doesn't completely irritate my skin. However, I will say the coverage is very very light. It doesn't real..."
"1588348662-5800","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Conceal + Perfect Longwear Concealer","https://www.ulta.com/conceal-perfect-longwear-concealer?productId=pimprod2007719","Milani","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Conceal + Perfect Longwear Concealer","","","Great formula","","5","Yes I would buy this again",""
"1588347715-4834","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Clear Complexion Concealer","https://www.ulta.com/clear-complexion-concealer?productId=xlsImpprod3520009","Almay","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Clear Complexion Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","I started using this concealer for my breakouts, after noticing my previous one was just adding more zits everytime i used it. It is a little drying, but it's to be expected because of the salicylic acid. For me it's easy to blend, I use a damp beauty blender and it works perfectly for me. It is also easy to build. Overall, I think this is a good concealer if you have acne prone skin, and want something that won't make the situation worse. This is definitely my new go-to.","","5","Love it for breakouts",""
"1588349359-6453","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Boi-ing Industrial Strength Concealer ''The Original Full-Coverage Concealer''","https://www.ulta.com/boi-ing-industrial-strength-concealer-original-full-coverage-concealer?productId=xlsImpprod16251012","Benefit Cosmetics","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Boi-ing Industrial Strength Concealer ''The Original Full-Coverage Concealer''","","","","I have the old version & I really hope this new 1 is no different. Although I do have dark circles under my eyes- I don't use this concealer for that. I use a routine including Erase Paste (now called Boi-ng Brightening Concealer). I like this product for things like- shaling/cleaning up brows, etc....","","",""
"1588348386-5470","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Fast Base Concealer","https://www.ulta.com/fast-base-concealer?productId=pimprod2000263","Makeup Revolution","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Fast Base Concealer","","","","","","","WARNING! NOT FOR SENSITIVE SKIN."
"1588348989-6237","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Trick&Treat Concealer","https://www.ulta.com/trick-treat-concealer?productId=xlsImpprod15001111","Hey Honey","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Trick&Treat Concealer","","","This is literally one of the only concealers that works for me. I want a somewhat natural look and most concealers turn orange or crease for me. This one, however, had just the right amount of coverage and can be built up. I was surprised that there's only two shades (especially because I'm very pale) but I didn't have a problem once I blended everything in!","","5","Amazing",""
"1588348989-6241","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Trick&Treat Concealer","https://www.ulta.com/trick-treat-concealer?productId=xlsImpprod15001111","Hey Honey","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Trick&Treat Concealer","","","For years I've hunted for a concealer that stays put and actually does it's job. I had honestly given up all hope of finding a good match for me, until I received a sample of this in my Ipsy bag years ago. I've been using this concealer ever since. A little goes a long way with this one, that tiny sample I received lasted me months, and this full size one honestly lasted me well over a year. Cannot recommend this product enough.","","5","Seriously amazing",""
"1588348577-5720","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Liquid Camouflage Concealer","https://www.ulta.com/liquid-camouflage-concealer?productId=xlsImpprod13901007","Catrice","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Liquid Camouflage Concealer","","","","Great Product But Color Selection is Off","","",""
"1588349507-6639","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Born This Way Super Coverage Multi-Use Sculpting Concealer","https://www.ulta.com/born-this-way-super-coverage-multi-use-sculpting-concealer?productId=xlsImpprod18631033","Too Faced","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Born This Way Super Coverage Multi-Use Sculpting Concealer","","","I tried to use this product without color corrector. Thinking I'd have to start over and add corrector. Well this concealer proved me wrong. No corrector needed and no creases! Love this!","","5","It does exactly what they say it will",""
"1588348356-5422","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Liquid Cover Concealer","https://www.ulta.com/liquid-cover-concealer?productId=pimprod2003543","Pacifica","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Liquid Cover Concealer","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","So I don't wear a lot of foundation or products and I pretty much only use concealer to cover pimples when I have them. I'm a real BB cream person as opposed to foundation. However.... I have this in the lightest shade and it works on my completion in the summer when I have a slight tan but is too dark and warm in the winter. It also does not cover acne well at all. It slightly will tone it down but literally won't even last for 30 minutes... And if I try to use a powder on top that doesn't really work either. Maybe this is better for under eyes but I like to use the bare minimum of makeup. Sucks, I really want to like these products because they are vegan and cruelty free. The only product I really love that I've tried so far is their mascara is very good, CC cream (not bb) and moisturizers.","","2","Not great for covering acne",""
"1588348800-5985","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Amazonian Clay 12-Hour Waterproof Concealer","https://www.ulta.com/amazonian-clay-12-hour-waterproof-concealer?productId=xlsImpprod3820375","Tarte","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Amazonian Clay 12-Hour Waterproof Concealer","","","I could get four revolution concealers for this price and they are basically the same thing. Took it back.","","1","Price tag is far too high for this little thing",""
"1588349019-6277","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","I Am Magic Concealer","https://www.ulta.com/i-am-magic-concealer?productId=pimprod2006835","Juvia's Place","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","I Am Magic Concealer","","","This product was great and had amazing coverage!","","5","Great!!",""
"1588348294-5343","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","No Makeup Concealer Broad Spectrum SPF 20","https://www.ulta.com/no-makeup-concealer-broad-spectrum-spf-20?productId=pimprod2004898","Perricone MD","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","No Makeup Concealer Broad Spectrum SPF 20","Next
Page","https://www.ulta.com/makeup-face-concealer?N=26y6&No=96&Nrpp=96","I like the color and that it has SPF. However within hours, I have crease lines under my eyes. I have to apply more moisturizer and reapply concealer. Maybe it is too thick for me.","","3","Concealer reviee",""
"1588349285-6353","https://www.ulta.com/?cmpid=PS_Brand!google!Brand&CAWELAID=1831598544&CATRK=SPFID-1&CAAGID=540267060&CATCI=kwd-12627301&CAPCID=378070056430&CADevice=c&gclid=EAIaIQobChMIzc2WxeSR6QIVBO21Ch3oTAwiEAAYASAAEgLqovD_BwE","Makeup","https://www.ulta.com/makeup?N=26y1","Face","https://www.ulta.com/makeup-face?N=26y3","Stay Naked Correcting Concealer","https://www.ulta.com/stay-naked-correcting-concealer?productId=pimprod2007470","Urban Decay Cosmetics","Concealer (151)","https://www.ulta.com/makeup-face-concealer?N=26y6","Stay Naked Correcting Concealer","","","So, me and make up, we got a love/hate relationship. But let me tell y'all this one... hands down the best one I've tried. If you got glasses try this. My glasses tend to rub off my make up even with setting powder. This concealer though has def won that fight for me.(I set it with loose setting powder:  Dermablend) If you got bags and/or crease easily, oooofff this is it. Stop watching girls with perfect faces cover up their little ""bags"" that never crease. I've creased with EVERY single concealer/setting powder I've used. always have to touch my face up. except this one! I don't even wear foundation with it. Whoever made this was thinking about us girls with actual eye bag, glasses rubbing, constantly touching up, problems. Try it.","","5","To my girls with glasses and bags",""
